"";"Temp 10";"Temp 11";"Temp 12";"Temp 13";"Temp 14";"Temp 15";"Temp 16";"Temp 17";"Temp 18";"Temp 19";"Temp 20";"Temp 21";"Temp 22";"Temp 23";"Temp 24";"Temp 25";"Temp 26";"Temp 27";"Temp 28";"Temp 29";"Temp 30"
"AvWeight 0";1,787;1,649;1,514;1,383;1,263;1,158;1,069;0,996;0,943;0,911;0,894;0,885;0,882;0,891;0,918;0,97;1,049;1,146;1,246;1,345;1,444
"AvWeight 50";2,163;2,022;1,881;1,745;1,619;1,507;1,41;1,33;1,269;1,231;1,208;1,195;1,189;1,195;1,22;1,27;1,348;1,444;1,543;1,641;1,739
"AvWeight 100";2,309;2,167;2,026;1,889;1,762;1,65;1,552;1,472;1,412;1,374;1,352;1,339;1,334;1,342;1,368;1,421;1,501;1,599;1,7;1,801;1,901
"AvWeight 150";2,421;2,276;2,132;1,992;1,863;1,748;1,648;1,565;1,503;1,462;1,438;1,423;1,417;1,422;1,446;1,497;1,575;1,672;1,771;1,87;1,969
"AvWeight 200";2,57;2,418;2,267;2,12;1,983;1,862;1,755;1,665;1,596;1,549;1,518;1,496;1,482;1,481;1,499;1,543;1,615;1,704;1,797;1,89;1,982
"AvWeight 250";2,778;2,614;2,45;2,292;2,144;2,01;1,892;1,791;1,71;1,651;1,609;1,576;1,551;1,539;1,545;1,578;1,638;1,717;1,799;1,88;1,961
"AvWeight 300";3,296;3,097;2,897;2,702;2,517;2,346;2,191;2,053;1,935;1,839;1,761;1,692;1,631;1,584;1,556;1,555;1,583;1,63;1,681;1,732;1,784
"AvWeight 350";3,62;3,402;3,185;2,972;2,768;2,579;2,406;2,249;2,113;2;1,903;1,816;1,738;1,673;1,628;1,61;1,621;1,651;1,685;1,721;1,757
"AvWeight 400";3,901;3,689;3,479;3,272;3,075;2,893;2,726;2,576;2,446;2,338;2,247;2,165;2,092;2,032;1,991;1,976;1,99;2,022;2,058;2,095;2,132
"AvWeight 450";4,35;4,139;3,928;3,721;3,523;3,34;3,172;3,02;2,889;2,779;2,686;2,602;2,526;2,463;2,42;2,402;2,413;2,443;2,476;2,51;2,543
