"";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30"
"0.50--1";1,1;1,067;1,035;1,006;0,983;0,97;0,968;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97;0,97
"1--4";1,362;1,328;1,295;1,262;1,229;1,198;1,183;1,183;1,147;1,092;1,055;1,055;1,045;1,034;1,041;1,076;1,14;1,221;1,304;1,388;1,471
"4--8";1,584;1,523;1,462;1,402;1,344;1,29;1,242;1,201;1,167;1,141;1,125;1,117;1,117;1,124;1,137;1,154;1,174;1,196;1,218;1,239;1,261
"8--14";1,818;1,69;1,571;1,493;1,439;1,384;1,327;1,273;1,226;1,186;1,153;1,127;1,109;1,097;1,091;1,092;1,096;1,101;1,106;1,111;1,116
"14--18";1,689;1,637;1,584;1,531;1,478;1,424;1,37;1,318;1,27;1,227;1,191;1,162;1,144;1,136;1,139;1,154;1,179;1,209;1,24;1,27;1,301
"18--35";2,054;1,853;1,667;1,548;1,481;1,433;1,38;1,335;1,308;1,27;1,224;1,181;1,152;1,14;1,147;1,174;1,204;1,234;1,264;1,295;1,325
"35--60";1,956;1,869;1,783;1,699;1,619;1,543;1,475;1,415;1,364;1,323;1,29;1,265;1,248;1,239;1,236;1,239;1,246;1,255;1,265;1,274;1,284
"60--80";2,204;2,032;1,86;1,705;1,624;1,56;1,498;1,439;1,384;1,336;1,294;1,263;1,246;1,238;1,262;1,317;1,393;1,479;1,567;1,654;1,742
"80--100";2,092;2,006;1,913;1,793;1,677;1,601;1,551;1,501;1,443;1,417;1,378;1,332;1,298;1,276;1,26;1,245;1,229;1,214;1,198;1,183;1,168
"100--150";2,081;2,012;1,942;1,873;1,806;1,743;1,683;1,629;1,58;1,538;1,504;1,478;1,46;1,45;1,446;1,448;1,452;1,458;1,464;1,47;1,476
"150--200";2,104;2,064;2,025;1,986;1,938;1,851;1,743;1,647;1,585;1,541;1,512;1,49;1,461;1,42;1,391;1,403;1,469;1,546;1,624;1,702;1,779
"200--250";2,279;2,241;2,202;2,16;2,09;1,982;1,872;1,774;1,693;1,634;1,598;1,577;1,563;1,546;1,527;1,526;1,555;1,591;1,627;1,664;1,7
"250--300";3,206;2,74;2,353;2,268;2,211;2,112;2;1,898;1,828;1,784;1,753;1,714;1,66;1,642;1,634;1,625;1,617;1,609;1,601;1,593;1,585
"300--350";3,2;3,034;2,867;2,701;2,534;2,369;2,217;2,089;1,997;1,941;1,878;1,816;1,776;1,767;1,74;1,708;1,835;2,23;2,685;3,141;3,596
"350--400";4,43;4,196;3,939;3,552;2,977;2,464;2,245;2,186;2,102;2;1,933;1,921;1,901;1,914;1,97;2,056;2,164;2,282;2,402;2,521;2,641
"400--450";4,793;4,329;3,87;3,438;3,061;2,766;2,581;2,507;2,448;2,349;2,248;2,187;2,151;2,108;2,055;2,096;2,325;2,667;3,028;3,389;3,751
"450--600";5,028;4,571;4,114;3,671;3,311;3,119;3,107;3,081;3,052;2,991;2,853;2,669;2,542;2,459;2,383;2,308;2,232;2,157;2,081;2,006;1,93
"600--3000";4,836;4,631;4,427;4,222;4,013;3,778;3,531;3,332;3,188;3,089;3,024;2,982;2,957;2,944;2,94;2,945;2,952;2,961;2,969;2,978;2,986
