FromWeight;Temp;Factor;category;AvWeight
0.5;1;0;0.50--1;0.75
0.5;2;0;0.50--1;0.75
0.5;3;0;0.50--1;0.75
0.5;4;0;0.50--1;0.75
0.5;5;0;0.50--1;0.75
0.5;6;0;0.50--1;0.75
0.5;7;0;0.50--1;0.75
0.5;8;0;0.50--1;0.75
0.5;9;0;0.50--1;0.75
0.5;10;1.067;0.50--1;0.75
0.5;11;1.067;0.50--1;0.75
0.5;12;1.067;0.50--1;0.75
0.5;13;0.97;0.50--1;0.75
0.5;14;0.97;0.50--1;0.75
0.5;15;0.97;0.50--1;0.75
0.5;16;0.97;0.50--1;0.75
0.5;17;0.97;0.50--1;0.75
0.5;18;0.97;0.50--1;0.75
0.5;19;0.97;0.50--1;0.75
0.5;20;0.97;0.50--1;0.75
0.5;21;0.97;0.50--1;0.75
0.5;22;0.97;0.50--1;0.75
0.5;23;0.97;0.50--1;0.75
0.5;24;0.97;0.50--1;0.75
0.5;25;0.97;0.50--1;0.75
0.5;26;0.97;0.50--1;0.75
0.5;27;1.15;0.50--1;0.75
0.5;28;1.15;0.50--1;0.75
0.5;29;1.15;0.50--1;0.75
0.5;30;1.15;0.50--1;0.75
0.5;31;1.15;0.50--1;0.75
0.5;32;1.15;0.50--1;0.75
0.5;33;0;0.50--1;0.75
0.5;34;0;0.50--1;0.75
0.5;35;0;0.50--1;0.75
1;1;0;1--4;2.5
1;2;0;1--4;2.5
1;3;0;1--4;2.5
1;4;0;1--4;2.5
1;5;0;1--4;2.5
1;6;0;1--4;2.5
1;7;0;1--4;2.5
1;8;0;1--4;2.5
1;9;0;1--4;2.5
1;10;1.067;1--4;2.5
1;11;1.509;1--4;2.5
1;12;1.416;1--4;2.5
1;13;1.323;1--4;2.5
1;14;1.229;1--4;2.5
1;15;1.183;1--4;2.5
1;16;1.183;1--4;2.5
1;17;1.183;1--4;2.5
1;18;1.102;1--4;2.5
1;19;1.075;1--4;2.5
1;20;1.055;1--4;2.5
1;21;1.055;1--4;2.5
1;22;1.023;1--4;2.5
1;23;1.034;1--4;2.5
1;24;1.055;1--4;2.5
